gvfs 1.60.1-1
gzip 1.14-2
harfbuzz 14.2.1-1
hdparm 9.65-3
hicolor-icon-theme 0.18-1
hidapi 0.15.0-1
highway 1.4.0-1
hwdata 0.409-1
hwloc 2.14.0-1
hyperv 7.1.3-1
hyprcursor 0.1.13-6
hyprgraphics 0.5.1-3
hypridle 0.1.7-9
hyprland 0.55.4-1
hyprland-guiutils 0.2.1-6
hyprlang 0.6.8-4
hyprlock 0.9.5-4
hyprpicker 0.4.7-1
hyprsunset 0.4.0-1
hyprtoolkit 0.5.4-2
hyprutils 0.13.1-1
hyprwayland-scanner 0.4.6-1
hyprwire 0.3.1-2
iana-etc 20260530-1
icu 78.3-1
ijs 0.35-7
imagemagick 7.1.2.26-2
impala 0.7.4-1
iniparser 4.2.6-2
intel-gmmlib 22.10.0-1
intel-lpmd 0.1.0-4
intel-media-driver 26.1.5-1
intel-ucode 20260512-1
iproute2 7.1.0-1
iptables 1:1.8.13-1
iputils 20250605-1
irssi 1.4.5-5
iso-codes 4.20.1-1
iw 6.17-1
iwd 3.12-1
jack2 1.9.22-2
jansson 2.15.0-1
jbig2dec 0.20-2
jbigkit 2.1-8
jemalloc 1:5.3.1-2
jfsutils 1.1.15-9
jq 1.8.2-1
js140 140.12.0-1
json-c 0.19-1
json-glib 1.10.8-1
jsoncpp 1.9.6-3
kbd 2.10.0-1
keyutils 1.6.3-4
kitty-terminfo 0.47.4-1
kmod 34.2-1
krb5 1.22.2-1
kvantum 1.1.8-1
kwindowsystem 6.27.0-1
l-smash 2.14.5-4
lame 3.101.r6531-2
lazygit 0.63.0-1
lbzip2 2.5-6
lcms2 2.19.1-1
ldns 1.9.2-1
leancrypto 1.8.0-1
leptonica 1.87.0-1
less 1:704-1
lftp 4.9.3-2
libadwaita 1:1.9.2-1
libaio 0.3.113-4
libarchive 3.8.8-2
libasan 16.1.1+r346+g4e03491b401d-3
libass 0.17.5-1
libassuan 3.0.0-1
libasyncns 1:0.8+r3+g68cd5af-3
libatasmart 0.19-8
libatomic 16.1.1+r346+g4e03491b401d-3
libavc1394 0.5.4-7
libb2 0.98.1-3
libblake3 1.8.4-1
libblockdev 3.5.0-2
libblockdev-crypto 3.5.0-2
libblockdev-fs 3.5.0-2
libblockdev-loop 3.5.0-2
libblockdev-mdraid 3.5.0-2
libblockdev-nvme 3.5.0-2
libblockdev-part 3.5.0-2
libblockdev-smart 3.5.0-2
libblockdev-swap 3.5.0-2
libbluray 1.4.1-1
libbpf 1.7.0-1
libbs2b 3.1.0-10
libbsd 0.12.2-2
libbytesize 2.12-3
libcanberra 1:0.30+r2+gc0620e4-6
libcap 2.78-1
libcap-ng 0.9.3-1
libcbor 0.14.0-1
libcdio 2.3.0-1
libcdio-paranoia 10.2+2.0.2-2
libcloudproviders 0.4.0-1
libcolord 1.4.8-1
libcue 2.3.0-2
libcups 2:2.4.19-1
libcupsfilters 2.1.1-4
libdaemon 0.14-6
libdatrie 0.2.14-1
libdbusmenu-glib 18.10.20180917-1
libdbusmenu-gtk3 18.10.20180917-1
libdecor 0.2.5-1
libdeflate 1.25-1
libdisplay-info 0.3.0-1
libdnet 1.18.2-1
libdovi 3.3.2-2
libdrm 2.4.134-1
libdvdnav 7.0.0-1
libdvdread 7.0.1-1
libebur128 1.2.6-2
libedit 20260512_3.1-1
libei 1.6.0-1
libelf 0.195-1
libepoxy 1.5.10-3
libevdev 1.13.6-1
libevent 2.1.13-1
libexif 0.6.26-1
libfdk-aac 2.0.3-2
libffi 3.7.1-1
libfido2 1.17.0-1
libfontenc 1.1.9-1
libfreeaptx 0.2.2-1
libfyaml 0.9.6-2
libgcc 16.1.1+r346+g4e03491b401d-3
libgcrypt 1.12.2-1
libgfortran 16.1.1+r346+g4e03491b401d-3
libgirepository 1.86.0-2
libgit2 1:1.9.4-1
libglvnd 1.7.0-3
libgomp 16.1.1+r346+g4e03491b401d-3
libgpg-error 1.61-1
libgsf 1.14.58-1
libgudev 238-3
libgxps 0.3.2-5
libhandy 1.8.3-2
libhwasan 16.1.1+r346+g4e03491b401d-3
libice 1.1.2-1
libidn 1.44-1
libidn2 2.3.8-1
libiec61883 1.2.0-9
libimobiledevice 1.4.0-2
libimobiledevice-glue 1.3.2-1
libinih 62-2
libinput 1.31.3-1
libiptcdata 1.0.5-5
libisl 0.28-1
libjpeg-turbo 3.2.0-2
libjxl 0.12.0-1
libksba 1.8.0-1
liblc3 1.1.3-2
libldac 2.0.2.6-1
libldap 2.6.13-1
liblouis 3.38.0-1
liblqr 0.4.3-1
liblsan 16.1.1+r346+g4e03491b401d-3
libluv 1.52.1-1
libmakepkg-dropins 20-1
libmaxminddb 1.13.3-1
libmbim 1.34.0-1
libmd 1.2.0-1
libmm-glib 1.24.2-1
libmnl 1.0.5-2
libmodplug 0.8.9.0-7
libmpc 1.4.1-1
libmpdclient 2.26-1
libmspack 1:1.11-2
libmysofa 1.3.4-1
libnautilus-extension 50.2.2-1
libnetfilter_conntrack 1.1.1-1
libnewt 0.52.25-2
libnfnetlink 1.0.2-2
libnftnl 1.3.1-1
libnghttp2 1.69.0-1
libnghttp3 1.17.0-1
libngtcp2 1.24.0-1
libnice 0.1.23-1
libnl 3.12.0-1
libnotify 0.8.8-1
libnsl 2.0.1-2
libntfs-3g 2026.2.25-1
libnvme 1.16.2-1
libobjc 16.1.1+r346+g4e03491b401d-3
libogg 1.3.6-1
libopenmpt 0.8.7-1
libosinfo 1.12.0-3
libotr 4.1.1-6
libp11-kit 0.26.2-1
libpaper 2.2.8-1
libpcap 1.10.6-1
libpciaccess 0.19-1
libpgm 5.3.128-4
libpipeline 1.5.8-1
libpipewire 1:1.6.7-1
libplacebo 7.360.1-3
libplist 2.7.0-3
libpng 1.6.58-2
libportal 0.10.0-1
libportal-gtk4 0.10.0-1
libppd 2.1.1-2
libproxy 0.5.12-1
libpsl 0.21.5-2
libpulse 17.0+r98+gb096704c0-1
libqmi 1.38.0-1
libqrtr-glib 1.4.0-1
libquadmath 16.1.1+r346+g4e03491b401d-3
libraqm 0.10.5-1
libraw1394 2.1.2-4
librsvg 2:2.62.3-1
libsamplerate 0.2.2-3
libsasl 2.1.28-5
libseccomp 2.6.0-1
libsecret 0.21.7-1
libsigc++ 2.12.2-1
libsigc++-3.0 3.8.1-1
libsm 1.2.6-1
libsndfile 1.2.2-4
libsodium 1.0.22-1
libsonic 0.2.0-2
libsoup3 3.6.6-2
libsoxr 0.1.3-5
libspectre 0.2.12-2
libspeechd 0.12.1-3
libssh 0.12.0-1
libssh2 1.11.1-6
libstdc++ 16.1.1+r346+g4e03491b401d-3
libstemmer 3.1.1-1
libsynctex 2026.0-2
libsysprof-capture 50.0-2
libtasn1 4.21.0-1
libtatsu 1.0.5-1
libthai 0.1.30-1
libtheora 1.2.0-1
libtiff 4.7.2-1
libtirpc 1.3.7-1
libtool 2.6.1-2
libtorrent-rasterbar 1:2.1.0-2
libtsan 16.1.1+r346+g4e03491b401d-3
libubsan 16.1.1+r346+g4e03491b401d-3
libunibreak 7.0-1
libunistring 1.4.2-1
libunwind 1.8.2-1
liburcu 0.15.6-1
liburing 2.15-1
libusb 1.0.30-1
libusb-compat 0.1.9-1
libusbmuxd 2.1.1-2
libutempter 1.2.3-1
libutf8proc 2.11.3-1
libuv 1.52.1-1
libva 2.24.1-1
libva-intel-driver 2.4.5-1
libva-nvidia-driver 0.0.17-1
libvdpau 1.5-4
libverto 0.3.2-6
libvorbis 1.3.7-4
libvpl 2.17.0-1
libvpx 1.16.0-3
libvterm 0.3.3-2
libwacom 2.19.0-1
libwbclient 2:4.24.4-1
libwebp 1.6.0-2
libwireplumber 0.5.15-1
libx11 1.8.13-1
libxau 1.0.12-1
libxaw 1.0.16-2
libxcb 1.17.0-1
libxcomposite 0.4.7-1
libxcrypt 4.5.2-1
libxcursor 1.2.3-1
libxcvt 0.1.3-1
libxdamage 1.1.7-1
libxdmcp 1.1.5-2
libxext 1.3.7-1
libxfixes 6.0.2-1
libxfont2 2.0.8-1
libxft 2.3.9-1
libxi 1.8.3-1
libxinerama 1.1.6-1
libxkbcommon 1.13.2-1
libxkbcommon-x11 1.13.2-1
libxkbfile 1.2.0-1
libxml2 2.15.3-1
libxmlb 0.3.28-1
libxmu 1.3.1-1
libxpm 3.5.19-1
libxrandr 1.5.5-1
libxrender 0.9.12-1
libxshmfence 1.3.3-1
libxslt 1.1.45-2
libxss 1.2.5-1
libxt 1.3.1-1
libxtst 1.2.5-1
libxv 1.0.13-1
libxxf86vm 1.1.7-1
libyaml 0.2.5-3
libzip 1.11.4-1
licenses 20240728-1
lilv 0.28.0-1
linux 7.1.3.arch1-2
linux-api-headers 7.1-1
linux-atm 2.5.2-9
linux-firmware 20260622-1
linux-firmware-amdgpu 20260622-1
linux-firmware-atheros 20260622-1
linux-firmware-broadcom 20260622-1
linux-firmware-cirrus 20260622-1
linux-firmware-intel 20260622-1
linux-firmware-marvell 20260622-1
linux-firmware-mediatek 20260622-1
linux-firmware-nvidia 20260622-1
linux-firmware-other 20260622-1
linux-firmware-radeon 20260622-1
linux-firmware-realtek 20260622-1
linux-firmware-whence 20260622-1
linux-headers 7.1.3.arch1-2
linux-t2 7.1.3-2
linux-t2-headers 7.1.3-2
livecd-sounds 1.0-3
llhttp 9.3.1-1
llvm-libs 22.1.8-1
lm_sensors 1:3.6.2-1
lmdb 0.9.35-1
localsearch 3.11.1-1
lrzip 0.660-1
lsb-release 2.0.r55.a25a4fc-1
lsscsi 0.32-2
lua 5.5.0-2
lua51-lpeg 1.1.0-5
lua54 5.4.8-6
luajit 2.1.1783773675+3c4f9fe-1
lv2 1.18.10-2
lvm2 2.03.41-1
lynx 2.9.3-1
lz4 1:1.10.0-2
lzo 2.10-5
lzop 1.04-4
m4 1.4.21-2
macbook12-spi-driver-dkms 0+git.315-1
mailcap 2.1.54-2
make 4.4.1-3
mako 1.11.0-1
man-db 2.13.1-1
man-pages 6.18-1
mc 4.8.33-1
md4c 0.5.3-1
mdadm 4.6-2
memtest86+ 7.20-2
memtest86+-efi 7.20-2
mesa 1:26.1.4-1
minizip 1:1.3.2-3
mkinitcpio 41-4
mkinitcpio-archiso 73-1
mkinitcpio-busybox 1.36.1-1
mkinitcpio-nfs-utils 0.3-8
mmc-utils 1.0-1
mobile-broadband-provider-info 20251101-1
modemmanager 1.24.2-1
mpdecimal 4.0.1-3
mpfr 4.2.2-1
mpg123 1.33.5-1
msgpack-c 7.0.1-1
mtdev 1.1.7-1
mtools 1:4.0.49-1
muparser 2.3.5-2
nano 9.1-1
nautilus 50.2.2-1
nbd 3.27.1-4
ncurses 6.6-2
ndisc6 1.0.8-1
neovim 0.12.4-1
net-tools 2.10-3
nettle 4.0-1
nettle3 3.10.2-2
nfs-utils 2.9.1-1
nfsidmap 2.9.1-1
nftables 1:1.1.6-3
nilfs-utils 2.3.0-1
nmap 7.99-2
noto-fonts 1:2026.07.01-1
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.051-1
npth 1.8-1
nspr 4.39-1
nss 3.125-1
nss-mdns 0.15.1-2
ntfs-3g 2026.2.25-1
ntfsprogs 2026.2.25-1
numactl 2.0.19-1
nvidia-open-dkms 610.43.03-2
